abfahren
abholen
abmachen
abschliessen
abtrocknen
anfassen
anprobieren
ansein
auffordern
aufmachen
aufschreiben
ausruhen
aussein
aussuchen
ausziehen
ausziehen
beantworten
bedanken
befinden
begrüssen
bemühen
beschäftigen
beschliessen
beteiligen
danken
dasein
einsteigen
einziehen
empfinden
erkälten
erledigen
fernsehen
fliessen
geniessen
giessen
giessen
grüssen
heben
heissen
heizen
klappen
lieben
mitkommen
mitmachen
mitnehmen
saubermachen
schliessen
schweigen
schwitzen
siegen
spazierengehen
stossen
stürmen
an
vertraün
weigern
wundern
